2026-04-07 21:43:06.469	INFO	file-browser/app.go:38	Creating new app
2026-04-07 21:43:06.470	INFO	file-browser/app.go:40	Runtime configuration loaded	{"path": "/Users/wxk/Documents/Project/file-browser/config.yaml", "exists": true}
2026-04-07 21:43:13.393	INFO	file-browser/app.go:38	Creating new app
2026-04-07 21:43:13.394	INFO	file-browser/app.go:40	Runtime configuration loaded	{"path": "/Users/wxk/Documents/Project/file-browser/config.yaml", "exists": true}
2026-04-07 21:43:16.332	INFO	file-browser/app.go:38	Creating new app
2026-04-07 21:43:16.333	INFO	file-browser/app.go:40	Runtime configuration loaded	{"path": "/Users/wxk/Documents/Project/file-browser/config.yaml", "exists": true}
2026-04-07 21:43:16.491	INFO	render/manager.go:26	Render manager started
2026-04-07 21:47:45.094	INFO	stdlog	httputil/reverseproxy.go:690	suppressing panic for copyResponse error in test; copy error: request has been stopped
2026-04-07 21:47:45.129	INFO	stdlog	httputil/reverseproxy.go:690	suppressing panic for copyResponse error in test; copy error: request has been stopped
2026-04-07 21:47:45.153	INFO	stdlog	httputil/reverseproxy.go:690	suppressing panic for copyResponse error in test; copy error: request has been stopped
2026-04-07 21:48:42.988	INFO	render/drag.go:18	Drag enter signal received	{"x": 864, "y": 642}
2026-04-07 21:48:43.172	INFO	render/drag.go:52	Panel file drop received	{"groupId": "workspace-root", "tabId": "connection:1fdf1897-d961-44e2-b681-a88d5d57abe9", "x": 503, "y": 433, "paths": ["/Users/wxk/Downloads/app.go"]}
2026-04-07 21:48:43.172	INFO	render/drag.go:32	Drop signal received	{"x": 503, "y": 433, "paths": ["/Users/wxk/Downloads/app.go"]}
2026-04-07 21:48:53.969	INFO	render/drag.go:18	Drag enter signal received	{"x": 761, "y": 532}
2026-04-07 21:48:54.091	INFO	render/drag.go:52	Panel file drop received	{"groupId": "group-1-mnooddeb", "tabId": "connection:1fdf1897-d961-44e2-b681-a88d5d57abe9", "x": 719, "y": 503, "paths": ["/Users/wxk/Downloads/app.go"]}
2026-04-07 21:48:54.091	INFO	render/drag.go:32	Drop signal received	{"x": 719, "y": 503, "paths": ["/Users/wxk/Downloads/app.go"]}
2026-04-07 21:49:12.631	INFO	render/drag.go:25	Drag leave signal received	{"x": 544, "y": 397}
2026-04-07 21:49:12.646	INFO	render/drag.go:25	Drag leave signal received	{"x": 570, "y": 399}
2026-04-07 21:49:12.660	INFO	render/drag.go:25	Drag leave signal received	{"x": 596, "y": 401}
2026-04-07 21:49:12.672	INFO	render/drag.go:25	Drag leave signal received	{"x": 623, "y": 404}
2026-04-07 21:49:12.677	INFO	render/drag.go:25	Drag leave signal received	{"x": 644, "y": 407}
2026-04-07 21:49:12.920	INFO	render/drag.go:32	Drop signal received	{"x": 754, "y": 430, "paths": [""]}
2026-04-07 21:49:41.620	INFO	stdlog	http/transport.go:2430	Unsolicited response received on idle HTTP channel starting with "HTTP/1.1 400 Bad Request\r\n\r\n"; err=<nil>
2026-04-07 21:49:57.980	INFO	render/drag.go:25	Drag leave signal received	{"x": 687, "y": 618}
2026-04-07 21:49:57.995	INFO	render/drag.go:25	Drag leave signal received	{"x": 679, "y": 604}
2026-04-07 21:49:58.003	INFO	render/drag.go:25	Drag leave signal received	{"x": 671, "y": 592}
2026-04-07 21:49:58.014	INFO	render/drag.go:25	Drag leave signal received	{"x": 659, "y": 572}
2026-04-07 21:49:58.028	INFO	render/drag.go:25	Drag leave signal received	{"x": 651, "y": 558}
2026-04-07 21:49:58.042	INFO	render/drag.go:25	Drag leave signal received	{"x": 647, "y": 549}
2026-04-07 21:49:58.054	INFO	render/drag.go:25	Drag leave signal received	{"x": 642, "y": 538}
2026-04-07 21:49:58.068	INFO	render/drag.go:25	Drag leave signal received	{"x": 636, "y": 522}
2026-04-07 21:49:58.090	INFO	render/drag.go:25	Drag leave signal received	{"x": 621, "y": 467}
2026-04-07 21:49:58.098	INFO	render/drag.go:25	Drag leave signal received	{"x": 609, "y": 414}
2026-04-07 21:49:58.110	INFO	render/drag.go:25	Drag leave signal received	{"x": 599, "y": 381}
2026-04-07 21:49:58.125	INFO	render/drag.go:25	Drag leave signal received	{"x": 592, "y": 357}
2026-04-07 21:49:58.139	INFO	render/drag.go:25	Drag leave signal received	{"x": 585, "y": 337}
2026-04-07 21:49:58.584	INFO	render/drag.go:32	Drop signal received	{"x": 535, "y": 236, "paths": [""]}
2026-04-07 21:49:59.476	INFO	render/drag.go:25	Drag leave signal received	{"x": 496, "y": 264}
2026-04-07 21:49:59.532	INFO	render/drag.go:25	Drag leave signal received	{"x": 481, "y": 376}
2026-04-07 21:49:59.548	INFO	render/drag.go:25	Drag leave signal received	{"x": 478, "y": 398}
2026-04-07 21:49:59.569	INFO	render/drag.go:25	Drag leave signal received	{"x": 474, "y": 434}
2026-04-07 21:49:59.588	INFO	render/drag.go:25	Drag leave signal received	{"x": 472, "y": 449}
2026-04-07 21:49:59.609	INFO	render/drag.go:25	Drag leave signal received	{"x": 468, "y": 479}
2026-04-07 21:49:59.646	INFO	render/drag.go:25	Drag leave signal received	{"x": 464, "y": 513}
2026-04-07 21:49:59.678	INFO	render/drag.go:25	Drag leave signal received	{"x": 463, "y": 526}
2026-04-07 21:49:59.693	INFO	render/drag.go:25	Drag leave signal received	{"x": 462, "y": 530}
2026-04-07 21:49:59.723	INFO	render/drag.go:25	Drag leave signal received	{"x": 461, "y": 538}
2026-04-07 21:49:59.751	INFO	render/drag.go:25	Drag leave signal received	{"x": 459, "y": 547}
2026-04-07 21:49:59.780	INFO	render/drag.go:25	Drag leave signal received	{"x": 456, "y": 556}
2026-04-07 21:49:59.808	INFO	render/drag.go:25	Drag leave signal received	{"x": 455, "y": 561}
2026-04-07 21:49:59.901	INFO	render/drag.go:25	Drag leave signal received	{"x": 452, "y": 572}
2026-04-07 21:50:00.019	INFO	render/drag.go:25	Drag leave signal received	{"x": 451, "y": 571}
2026-04-07 21:50:00.409	INFO	render/drag.go:25	Drag leave signal received	{"x": 374, "y": 559}
2026-04-07 21:50:00.453	INFO	render/drag.go:25	Drag leave signal received	{"x": 366, "y": 557}
2026-04-07 21:50:00.524	INFO	render/drag.go:25	Drag leave signal received	{"x": 369, "y": 555}
2026-04-07 21:50:00.611	INFO	render/drag.go:25	Drag leave signal received	{"x": 446, "y": 539}
2026-04-07 21:50:00.631	INFO	render/drag.go:25	Drag leave signal received	{"x": 486, "y": 535}
2026-04-07 21:50:00.651	INFO	render/drag.go:25	Drag leave signal received	{"x": 531, "y": 534}
2026-04-07 21:50:00.662	INFO	render/drag.go:25	Drag leave signal received	{"x": 555, "y": 534}
2026-04-07 21:50:00.680	INFO	render/drag.go:25	Drag leave signal received	{"x": 602, "y": 534}
2026-04-07 21:50:00.692	INFO	render/drag.go:25	Drag leave signal received	{"x": 617, "y": 534}
2026-04-07 21:50:00.697	INFO	render/drag.go:25	Drag leave signal received	{"x": 635, "y": 535}
2026-04-07 21:50:00.710	INFO	render/drag.go:25	Drag leave signal received	{"x": 652, "y": 537}
